paper_id,row_index
PMC4136787,0
PMC3630201,1
PMC11988870,2
PMC7998608,3
PMC5587110,4
PMC8396460,5
PMC5666799,6
PMC5460236,7
PMC6222041,8
PMC6813909,9
PMC4095884,10
PMC3040128,11
PMC11500582,12
PMC5387210,13
PMC4642138,14
PMC5387210,15
PMC3901686,16
PMC6387434,17
PMC7072278,18
PMC8441986,19
PMC9400218,20
PMC9267413,21
PMC9576569,22
PMC10789781,23
PMC10772081,24
PMC11166946,25
PMC11166944,26
PMC11166968,27
PMC7000411,28
PMC7787258,29
PMC8716943,30
PMC7010715,31
PMC7503278,32
PMC8364238,33
PMC11579474,34
PMC2998437,35
PMC3289768,36
PMC3593973,37
PMC11127935,38
PMC11930778,39
PMC8816950,40
PMC4118556,41
PMC4653813,42
PMC6915713,43
PMC6124165,44
PMC8509868,45
PMC11063234,46
PMC5672023,47
PMC5899691,48
PMC6204554,49
PMC4064004,50
PMC3818365,51
PMC3981873,52
PMC4618186,53
PMC5415411,54
PMC6289879,55
PMC8099722,56
PMC4033213,57
PMC6081456,58
PMC5955502,59
PMC10285634,60
PMC11271499,61
PMC6062551,62
PMC9832585,63
PMC7829349,64
PMC3570223,65
PMC3558598,66
PMC11046949,67
PMC3890248,68
PMC5736159,69
PMC5761896,70
PMC5826609,71
PMC6366624,72
PMC11929063,73
PMC11929063,74
PMC10996920,75
